regionalschluessel,name,bevoelkerungsdichte
53820020020,Hennef (Sieg),438
53620036036,Pulheim,739
59660020020,Lennestadt,190
59620028028,Kierspe,224
57740016016,Büren,126
55660040040,Lengerich,243
59130000000,Dortmund,2068
53660032032,Nettersheim,79
57740032032,Paderborn,808
53580012012,Heimbach,67
55620014014,Gladbeck,2063
53580040040,Merzenich,260
51540044044,Rees,193
55620036036,Waltrop,616
53660040040,Weilerswist,288
53820064064,Swisttal,285
57580020020,Kirchlengern,472
55660032032,Ladbergen,124
53660044044,Zülpich,196
55700032032,Ostbevern,119
55540020020,Gronau (Westf.),587
59780032032,Selm,423
55620016016,Haltern am See,237
59580012012,Brilon,111
53580008008,Düren,1047
51240000000,Wuppertal,2051
57700032032,Porta Westfalica,335
51540052052,Straelen,213
55660092092,Westerkappeln,128
51700052052,Xanten,294
53660008008,Blankenheim,56
51580020020,Langenfeld (Rhld.),1387
53820008008,Bad Honnef,521
57740012012,Borchen,172
53660020020,Hellenthal,58
59580028028,Medebach,62
59740048048,Welver,140
59700012012,Erndtebrück,101
53620040040,Wesseling,1521
55150000000,Münster,996
53780004004,Bergisch Gladbach,1320
53780008008,Burscheid,665
59740044044,Warstein,159
53820016016,Eitorf,264
53820076076,Windeck,174
51160000000,Mönchengladbach,1507
59700008008,Burbach,181
59700016016,Freudenberg,326
57660052052,Lügde,109
51660032032,Viersen,824
51540036036,Kleve,499
51660024024,Schwalmtal,393
59700024024,Kreuztal,437
53340016016,Herzogenrath,1390
53700024024,Selfkant,237
53700016016,Heinsberg,446
53580004004,Aldenhoven,310
53780012012,Kürten,291
59620012012,Halver,208
59620052052,Plettenberg,264
57700044044,Stemwede,81
51620012012,Jüchen,318
51620008008,Grevenbroich,606
53340032032,Stolberg (Rhld.),573
51580028028,Ratingen,976
55580016016,Dülmen,248
51580012012,Heiligenhaus,926
57620024024,Marienmünster,80
59620040040,Menden (Sauerland),615
51220000000,Solingen,1751
51540048048,Rheurdt,222
55540024024,Heek,122
55660060060,Neuenkirchen,281
57660004004,Augustdorf,229
51580004004,Erkrath,1626
59660004004,Attendorn,248
53700004004,Erkelenz,366
53700028028,Übach-Palenberg,920
55620024024,Marl,953
59780016016,Holzwickede,748
51540024024,Kalkar,155
55540012012,Borken,271
59700044044,Wilnsdorf,279
59660016016,Kirchhundem,79
53780016016,Leichlingen (Rhld.),747
59110000000,Bochum,2484
53740044044,Waldbröl,295
53740040040,Reichshof,163
53740024024,Marienheide,246
53580052052,Nörvenich,157
53620012012,Brühl,1218
53820060060,Siegburg,1700
55700044044,Telgte,212
55580024024,Lüdinghausen,170
53820056056,Sankt Augustin,1596
55540044044,Reken,183
53740032032,Nümbrecht,233
59660024024,Olpe,287
59660028028,Wenden,270
53740012012,Gummersbach,521
59580032032,Meschede,137
53740028028,Morsbach,183
59620020020,Herscheid,121
53740004004,Bergneustadt,498
59660008008,Drolshagen,176
